epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,367.676,1.07441,1.04476,1.2015,0.90121,0.94158,0.97833,0.75288,1.02337,0.93596,1.16864,0.00103288,0.00103288,0.00103288
44,377.196,1.1083,1.09747,1.22592,0.86112,0.98828,0.97833,0.72157,1.09459,0.95982,1.1976,0.00102345,0.00102345,0.00102345
45,387.162,1.14346,1.1489,1.2149,0.89944,0.93306,0.97833,0.7254,1.06155,0.95968,1.16129,0.00101402,0.00101402,0.00101402
46,397.258,1.10004,1.06961,1.20613,0.91787,1,0.96167,0.67457,1.13348,1.03747,1.22245,0.00100459,0.00100459,0.00100459
47,407.016,0.99887,0.96593,1.15306,0.98435,1,0.995,0.62312,1.223,1.03476,1.24762,0.000995156,0.000995156,0.000995156
48,416.433,1.00312,1.0836,1.16209,0.98011,1,0.995,0.63419,1.30893,0.98214,1.30239,0.000985724,0.000985724,0.000985724
49,426.473,1.09574,1.02929,1.19314,0.97544,1,0.995,0.66856,1.18734,0.92486,1.22513,0.000976293,0.000976293,0.000976293
50,437.026,0.93229,0.94768,1.1198,0.96919,0.99341,0.995,0.67661,1.18802,0.94751,1.21652,0.000966861,0.000966861,0.000966861
51,446.641,1.01991,1.08018,1.18484,0.92208,0.99074,0.995,0.68173,1.21964,1.09255,1.25878,0.00095743,0.00095743,0.00095743
52,456.316,1.0129,1.03595,1.15349,0.89774,0.98038,0.995,0.66891,1.24396,1.14011,1.28649,0.000947999,0.000947999,0.000947999
53,465.885,1.02729,1.07154,1.18115,0.88304,0.9728,0.995,0.70939,1.20953,0.96453,1.28625,0.000938567,0.000938567,0.000938567
54,475.39,1.00253,1.02335,1.14222,0.97855,0.92687,0.995,0.7097,1.1131,0.91063,1.16978,0.000929136,0.000929136,0.000929136
55,485.132,1.03776,0.97876,1.15826,0.94574,0.92004,0.995,0.71364,1.12943,0.9237,1.20696,0.000919704,0.000919704,0.000919704
56,494.706,1.09618,1.00988,1.19687,0.87907,0.99156,0.995,0.712,1.12764,0.89858,1.18826,0.000910273,0.000910273,0.000910273
57,504.312,0.97531,0.94287,1.15071,0.93642,0.94645,0.995,0.70654,1.13687,0.92939,1.18095,0.000900842,0.000900842,0.000900842
58,514.172,0.98403,0.97803,1.14256,0.95316,0.96811,0.995,0.71581,1.11906,0.90704,1.19109,0.00089141,0.00089141,0.00089141
59,524.508,0.98486,0.9521,1.15828,0.98144,1,0.995,0.71909,1.15711,0.96074,1.21802,0.000881979,0.000881979,0.000881979
60,533.958,0.91017,1.02918,1.09962,0.95521,1,0.995,0.68775,1.2198,1.00712,1.27012,0.000872547,0.000872547,0.000872547
61,543.72,0.91649,0.92184,1.13577,0.98366,1,0.995,0.65067,1.28733,1.02103,1.32166,0.000863116,0.000863116,0.000863116
62,553.36,0.90763,0.91326,1.11581,0.98409,1,0.995,0.66142,1.27697,0.96582,1.31715,0.000853685,0.000853685,0.000853685
63,562.933,0.91982,0.89159,1.13105,0.97358,1,0.995,0.69154,1.20667,0.8305,1.2776,0.000844253,0.000844253,0.000844253
64,572.461,0.97612,0.85559,1.13084,0.96515,1,0.995,0.69713,1.15016,0.85177,1.23748,0.000834822,0.000834822,0.000834822
65,582.236,0.95045,0.95545,1.14857,0.94651,0.99306,0.995,0.702,1.17524,0.85963,1.25848,0.00082539,0.00082539,0.00082539
66,592.069,0.92168,0.91061,1.15755,0.92819,0.97253,0.995,0.69019,1.20698,0.8726,1.28167,0.000815959,0.000815959,0.000815959
67,601.654,0.91658,0.97034,1.13238,0.96806,0.92306,0.995,0.69361,1.1925,0.91325,1.29662,0.000806528,0.000806528,0.000806528
68,612.713,1.00026,0.94805,1.16423,0.97288,0.91984,0.995,0.67996,1.19777,0.94214,1.30889,0.000797096,0.000797096,0.000797096
69,622.822,0.90228,0.86542,1.1145,0.95208,0.91816,0.995,0.68971,1.09125,0.92369,1.2381,0.000787665,0.000787665,0.000787665
70,632.804,0.96385,0.85744,1.17854,0.95484,0.91334,0.95929,0.68282,1.07867,0.91234,1.21161,0.000778233,0.000778233,0.000778233
71,643.629,1.0285,0.94062,1.1785,0.97406,0.91667,0.95929,0.6811,1.10397,0.8348,1.18662,0.000768802,0.000768802,0.000768802
72,653.958,0.93535,0.88162,1.10478,0.95765,0.91408,0.97833,0.67253,1.16349,0.83378,1.20257,0.000759371,0.000759371,0.000759371
73,662.967,0.91695,0.8196,1.12725,0.83633,0.98239,0.995,0.66167,1.17735,0.85461,1.25203,0.000749939,0.000749939,0.000749939
74,672.003,0.83727,0.82299,1.09133,0.98191,0.84884,0.995,0.67167,1.13876,0.83411,1.22996,0.000740508,0.000740508,0.000740508
75,681.204,0.84215,0.82076,1.09802,0.84434,1,0.995,0.68133,1.13819,0.80607,1.22247,0.000731076,0.000731076,0.000731076
76,690.18,0.858,0.81681,1.07847,0.97858,0.85666,0.995,0.68937,1.1333,0.85755,1.23358,0.000721645,0.000721645,0.000721645
77,699.943,0.87359,0.88894,1.08492,0.97702,0.85517,0.995,0.65079,1.28147,0.933,1.35233,0.000712214,0.000712214,0.000712214
78,708.507,0.83386,1.16253,1.01686,0.93825,0.99697,0.995,0.64479,1.22027,0.81994,1.27407,0.000702782,0.000702782,0.000702782
79,717.769,0.86371,0.82377,1.08593,0.96601,1,0.995,0.71883,1.15349,0.75426,1.13887,0.000693351,0.000693351,0.000693351
80,726.338,0.89146,0.8541,1.09548,0.97252,1,0.995,0.70654,1.13578,0.73719,1.12588,0.000683919,0.000683919,0.000683919
