epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1154.3,0.90164,0.66932,1.10452,0.98961,0.9697,0.9925,0.80525,0.67395,0.4643,1.01051,0.000834822,0.000834822,0.000834822
44,1178.99,0.91203,0.67612,1.10916,0.98891,1,0.995,0.79105,0.71464,0.50177,1.02055,0.000820675,0.000820675,0.000820675
45,1208.27,0.87228,0.66033,1.09544,0.98813,1,0.995,0.76695,0.73557,0.52894,1.03254,0.000806528,0.000806528,0.000806528
46,1235.04,0.84322,0.63054,1.09025,0.98076,0.99425,0.995,0.82006,0.6291,0.47252,0.98981,0.00079238,0.00079238,0.00079238
47,1260.34,0.85535,0.64999,1.09342,0.90094,0.97696,0.995,0.78363,0.71464,0.63418,1.01067,0.000778233,0.000778233,0.000778233
48,1286.45,0.86688,0.65021,1.08915,0.98301,0.99598,0.995,0.74667,0.80554,0.51331,1.07113,0.000764086,0.000764086,0.000764086
49,1312,0.8978,0.67949,1.09914,0.99222,0.97932,0.995,0.75199,0.7427,0.49515,1.0267,0.000749939,0.000749939,0.000749939
50,1337.84,0.87576,0.64942,1.0892,0.98558,0.97851,0.995,0.77203,0.74421,0.51778,1.03286,0.000735792,0.000735792,0.000735792
51,1363.03,0.84181,0.63844,1.09303,0.97782,0.9697,0.9925,0.77416,0.82923,0.53258,1.04936,0.000721645,0.000721645,0.000721645
52,1387.72,0.82834,0.62698,1.07843,0.98333,0.97764,0.995,0.76821,0.71305,0.47925,1.03162,0.000707498,0.000707498,0.000707498
53,1413.47,0.83152,0.62724,1.07904,0.99231,0.97539,0.995,0.78696,0.7131,0.50139,1.02828,0.000693351,0.000693351,0.000693351
54,1438.71,0.78498,0.59144,1.06567,0.98965,0.9717,0.995,0.78223,0.7227,0.4868,1.00699,0.000679204,0.000679204,0.000679204
