epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.075,1.40837,3.009,1.46734,0.00348,1,0.60606,0.38017,1.15039,3.04702,1.35279,0.000463459,0.000463459,0.000463459
2,89.5773,1.2751,2.16937,1.35117,0.69203,0.38661,0.68106,0.41227,1.36389,2.50061,1.41681,0.00093359,0.00093359,0.00093359
3,128.374,1.33678,1.6913,1.38588,0.85643,0.91236,0.987,0.66131,1.39016,1.57944,1.54597,0.00139743,0.00139743,0.00139743
4,166.355,1.29263,1.60361,1.38204,0.70583,0.93116,0.92283,0.55721,1.53573,1.89741,1.57797,0.00140071,0.00140071,0.00140071
5,205.19,1.23618,1.4261,1.30047,0.95507,0.92599,0.95951,0.6098,1.29899,1.39753,1.52371,0.00139127,0.00139127,0.00139127
6,240.999,1.31512,1.4299,1.36518,1,0.78527,0.92614,0.64528,1.20548,1.34751,1.40125,0.00138184,0.00138184,0.00138184
7,276.175,1.15896,1.29215,1.24629,0.91815,0.87649,0.94773,0.64682,1.14399,1.39804,1.40451,0.00137241,0.00137241,0.00137241
8,311.442,1.15976,1.303,1.27207,0.9858,0.96334,0.98563,0.63752,1.4194,1.11534,1.66215,0.00136298,0.00136298,0.00136298
9,345.807,1.16119,1.19178,1.27429,0.95381,0.96192,0.99038,0.67731,1.29557,1.07768,1.46685,0.00135355,0.00135355,0.00135355
10,379.854,1.14068,1.15994,1.25428,0.96135,0.95597,0.97722,0.68957,1.34833,1.02408,1.54599,0.00134412,0.00134412,0.00134412
11,414.106,1.14481,1.17244,1.2526,0.90234,0.93458,0.96965,0.71255,1.22492,1.03631,1.44877,0.00133469,0.00133469,0.00133469
12,447.963,1.1341,1.10453,1.23572,0.9339,0.66492,0.94327,0.66882,1.43565,1.18611,1.68444,0.00132525,0.00132525,0.00132525
13,482.385,1.08024,1.05507,1.22152,0.95719,0.92803,0.98413,0.66088,1.38589,1.0553,1.49744,0.00131582,0.00131582,0.00131582
14,517.327,1.05962,1.08064,1.20944,0.98671,0.92803,0.98594,0.66177,1.13601,0.89533,1.28898,0.00130639,0.00130639,0.00130639
15,552.065,1.1038,1.05039,1.21712,0.95473,0.92007,0.98409,0.73292,0.96199,0.85244,1.1657,0.00129696,0.00129696,0.00129696
16,586.001,1.11075,1.01807,1.23513,0.99117,0.97176,0.995,0.68906,1.06904,0.82624,1.26545,0.00128753,0.00128753,0.00128753
17,619.627,1.08453,0.9702,1.21898,0.95546,0.95208,0.97962,0.68199,1.20292,0.83514,1.32276,0.0012781,0.0012781,0.0012781
18,661.615,1.12302,1.03806,1.23589,0.97221,0.97563,0.995,0.68122,1.30196,0.84928,1.55031,0.00126867,0.00126867,0.00126867
19,713.236,1.02285,0.97066,1.2029,0.97134,0.97964,0.995,0.73085,1.2438,0.81059,1.47657,0.00125923,0.00125923,0.00125923
20,760.001,1.04266,0.95108,1.21351,0.98328,0.98372,0.995,0.72016,1.28476,0.84898,1.43312,0.0012498,0.0012498,0.0012498
21,794.789,1.0019,0.92786,1.16965,0.98617,0.93583,0.97679,0.72172,1.04938,0.79755,1.22192,0.00124037,0.00124037,0.00124037
22,829.143,0.98703,0.88024,1.17024,0.98634,0.9542,0.99056,0.71445,1.26847,0.92893,1.32747,0.00123094,0.00123094,0.00123094
23,863.317,1.01831,0.91615,1.17632,0.9629,0.93952,0.97435,0.71318,1.41655,0.8618,1.48863,0.00122151,0.00122151,0.00122151
24,906.08,1.00267,0.89547,1.16962,0.95227,0.98157,0.99056,0.74421,1.21942,0.75735,1.31334,0.00121208,0.00121208,0.00121208
25,951.183,1.02689,0.87265,1.16718,0.98952,0.99198,0.995,0.71565,1.18357,0.79096,1.34189,0.00120265,0.00120265,0.00120265
26,1005.9,0.98721,0.85035,1.16626,0.98886,0.99177,0.995,0.75381,1.02289,0.64696,1.20363,0.00119322,0.00119322,0.00119322
27,1053.87,1.00648,0.86479,1.17016,0.98978,0.9526,0.99056,0.78246,0.92261,0.59558,1.12191,0.00118378,0.00118378,0.00118378
28,1108.2,0.9909,0.84691,1.19838,0.98705,0.93907,0.987,0.74145,1.01476,0.66444,1.16966,0.00117435,0.00117435,0.00117435
29,1161.27,1.03418,0.86029,1.18249,0.9619,0.92803,0.96038,0.76584,1.26437,0.69883,1.42395,0.00116492,0.00116492,0.00116492
30,1211.43,1.00378,0.82794,1.17406,0.96616,0.96268,0.995,0.7568,1.14083,0.68212,1.33985,0.00115549,0.00115549,0.00115549
31,1251.81,0.98469,0.80463,1.17763,0.97938,0.99823,0.995,0.73811,1.18228,0.69788,1.36327,0.00114606,0.00114606,0.00114606
32,1291.23,0.96366,0.79427,1.16236,0.98509,0.94197,0.97286,0.76728,1.092,0.68277,1.27397,0.00113663,0.00113663,0.00113663
33,1341.8,1.01959,0.81871,1.17334,0.95194,0.96474,0.97722,0.74443,0.98366,0.64359,1.21991,0.0011272,0.0011272,0.0011272
34,1389.01,0.94297,0.74382,1.13852,0.94928,0.98264,0.99056,0.74212,0.96153,0.59434,1.15804,0.00111776,0.00111776,0.00111776
35,1425.5,1.01323,0.78475,1.16515,0.98253,0.98477,0.995,0.73711,0.97201,0.56078,1.15231,0.00110833,0.00110833,0.00110833
36,1465.3,0.98003,0.77577,1.14649,0.99341,0.9674,0.995,0.75987,0.98713,0.64762,1.1952,0.0010989,0.0010989,0.0010989
37,1505.87,0.99089,0.77425,1.15853,0.98491,0.99794,0.995,0.74388,0.88403,0.65224,1.08962,0.00108947,0.00108947,0.00108947
38,1543.15,0.92372,0.72441,1.12342,0.99468,1,0.995,0.76918,0.93571,0.5422,1.19865,0.00108004,0.00108004,0.00108004
39,1584.51,0.92295,0.69452,1.1158,0.98746,1,0.995,0.78612,0.75659,0.53753,1.06188,0.00107061,0.00107061,0.00107061
40,1629.4,0.9297,0.7049,1.14226,0.99363,0.97892,0.995,0.77832,0.86884,0.56374,1.13645,0.00106118,0.00106118,0.00106118
